id,label,media_type
http://publications.europa.eu/resource/authority/file-type/ISO,ISO,http://www.iana.org/assignments/media-types/application/vnd.efi.iso
http://publications.europa.eu/resource/authority/file-type/ISO_ZIP,ISO_ZIP,
,ISO-USGIN,
,ISO-USGIN-1.3,
,ISO19115,
http://publications.europa.eu/resource/authority/file-type/JAR,JAR,
http://publications.europa.eu/resource/authority/file-type/JATS,JATS,
,JOINS,http://www.opengis.net/def/interface/ogcapi-joins
http://publications.europa.eu/resource/authority/file-type/JPEG,JPEG,
http://publications.europa.eu/resource/authority/file-type/JPEG2000,JPEG2000,
http://publications.europa.eu/resource/authority/file-type/JS,JS,http://www.iana.org/assignments/media-types/application/javascript
http://publications.europa.eu/resource/authority/file-type/JSON,JSON,http://www.iana.org/assignments/media-types/application/json
http://publications.europa.eu/resource/authority/file-type/JSON_LD,JSON_LD,http://www.iana.org/assignments/media-types/application/ld+json
http://publications.europa.eu/resource/authority/file-type/KML,KML,http://www.iana.org/assignments/media-types/application/vnd.google-earth.kml+xml
http://publications.europa.eu/resource/authority/file-type/KMZ,KMZ,http://www.iana.org/assignments/media-types/application/vnd.google-earth.kmz
http://publications.europa.eu/resource/authority/file-type/LAS,LAS,http://www.iana.org/assignments/media-types/application/vnd.las
http://publications.europa.eu/resource/authority/file-type/LAZ,LAZ,http://www.iana.org/assignments/media-types/application/vnd.laszip
http://publications.europa.eu/resource/authority/file-type/LEG,LEG,
http://publications.europa.eu/resource/authority/file-type/LHA,LHA,
,LINK,http://www.w3.org/TR/xlink/
http://publications.europa.eu/resource/authority/file-type/LPK,LPK,
http://publications.europa.eu/resource/authority/file-type/LZIP,LZIP,
http://publications.europa.eu/resource/authority/file-type/LZMA,LZMA,
http://publications.europa.eu/resource/authority/file-type/LZO,LZO,
http://publications.europa.eu/resource/authority/file-type/MAP_SRVC,MAP,
http://publications.europa.eu/resource/authority/file-type/MAP_PRVW,MAP_PRVW,
http://publications.europa.eu/resource/authority/file-type/MAP_SRVC,MAP_SRVC,
http://publications.europa.eu/resource/authority/file-type/MBOX,MBOX,http://www.iana.org/assignments/media-types/application/mbox
http://publications.europa.eu/resource/authority/file-type/MDB,MDB,
http://publications.europa.eu/resource/authority/file-type/METS,METS,http://www.iana.org/assignments/media-types/application/mets+xml
http://publications.europa.eu/resource/authority/file-type/METS_ZIP,METS_ZIP,
http://publications.europa.eu/resource/authority/file-type/MHTML,MHTML,
http://publications.europa.eu/resource/authority/file-type/MIF_MID,MIF_MID,
http://publications.europa.eu/resource/authority/file-type/MOBI,MOBI,http://www.iana.org/assignments/media-types/application/vnd.amazon.mobi8-ebook
http://publications.europa.eu/resource/authority/file-type/MOP,MOP,
,MOVINGFEATURES,http://www.opengis.net/def/interface/ogcapi-moving-features
http://publications.europa.eu/resource/authority/file-type/MP3,MP3,
http://publications.europa.eu/resource/authority/file-type/MPEG2,MPEG2,http://www.iana.org/assignments/media-types/application/mp4
http://publications.europa.eu/resource/authority/file-type/MPEG4,MPEG4,http://www.iana.org/assignments/media-types/application/mp4
http://publications.europa.eu/resource/authority/file-type/MPEG4_AVC,MPEG4_AVC,http://www.iana.org/assignments/media-types/application/mp4
,MPK,http://esriurl.com/mpk.xml
,MQTT,http://mqtt.org
http://publications.europa.eu/resource/authority/file-type/MRSID,MRSID,
http://publications.europa.eu/resource/authority/file-type/MSG_HTTP,MSG_HTTP,
http://publications.europa.eu/resource/authority/file-type/MSI,MSI,
http://publications.europa.eu/resource/authority/file-type/MXD,MXD,
http://publications.europa.eu/resource/authority/file-type/N3,N3,http://www.iana.org/assignments/media-types/application/n-triples
,NCSS,
http://publications.europa.eu/resource/authority/file-type/NETCDF,NETCDF,
http://publications.europa.eu/resource/authority/file-type/OAPK,OAPK,
http://publications.europa.eu/resource/authority/file-type/OCTET,OCTET,http://www.iana.org/assignments/media-types/application/octet-stream
,ODATA,http://docs.oasis-open.org/odata/odata/v4.0
http://publications.europa.eu/resource/authority/file-type/ODB,ODB,
http://publications.europa.eu/resource/authority/file-type/ODC,ODC,
http://publications.europa.eu/resource/authority/file-type/ODF,ODF,
http://publications.europa.eu/resource/authority/file-type/ODG,ODG,
http://publications.europa.eu/resource/authority/file-type/ODP,ODP,
http://publications.europa.eu/resource/authority/file-type/ODS,ODS,http://www.iana.org/assignments/media-types/application/vnd.oasis.opendocument.spreadsheet
http://publications.europa.eu/resource/authority/file-type/ODT,ODT,http://www.iana.org/assignments/media-types/application/vnd.oasis.opendocument.text
,OGCCov,http://www.opengis.net/def/interface/ogcapi-coverages
,OGCDGGS,http://www.opengis.net/def/interface/ogcapi-dggs
,OGCEDR,http://www.opengis.net/def/interface/ogcapi-edr
,OGCFeat,http://www.opengis.net/def/interface/ogcapi-features
,OGCMaps,http://www.opengis.net/def/interface/ogcapi-maps
